Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6	512GB	80		MacBook Air	13 pulgadas	2018	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6	256GB	60		MacBook Air	13 pulgadas	2018	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6	128GB	50		MacBook Air	13 pulgadas	2018	Core I5 1.6
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 76 Core GPU	8TB	1720		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 76 Core GPU	4TB	1650		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 76 Core GPU	2TB	1595		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 60 Core GPU	8TB	1530		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 76 Core GPU	1TB	1530		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 60 Core GPU	4TB	1470		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 60 Core GPU	2TB	1355		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Max 12 Core CPU 38 Core GPU	8TB	1220		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Ultra 24 Core CPU 60 Core GPU	1TB	1205		Mac Studio		2023	M2 Ultra
Mac Studio (2023) A2901 M2 Max 12 Core CPU 38 Core GPU	4TB	1175		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 30 Core GPU	8TB	1125		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 30 Core GPU	4TB	900		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 38 Core GPU	2TB	835		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 30 Core GPU	2TB	810		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 38 Core GPU	1TB	775		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 30 Core GPU	1TB	730		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 38 Core GPU	512GB	680		Mac Studio		2023	M2 Max
Mac Studio (2023) A2901 M2 Max 12 Core CPU 30 Core GPU	512GB	645		Mac Studio		2023	M2 Max
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 64 Core GPU	8TB	1445		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 64 Core GPU	4TB	1390		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 64 Core GPU	2TB	1355		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 48 Core GPU	8TB	1200		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 64 Core GPU	1TB	1170		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 48 Core GPU	4TB	1125		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 48 Core GPU	2TB	1050		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Ultra 20 Core CPU 48 Core GPU	1TB	955		Mac Studio		2022	M1 Ultra
Mac Studio (2022) A2615 M1 Max 10 Core CPU 32 Core GPU	8TB	775		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 24 Core GPU	8TB	765		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 32 Core GPU	4TB	730		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 24 Core GPU	4TB	675		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 32 Core GPU	2TB	675		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 24 Core GPU	2TB	650		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 32 Core GPU	1TB	650		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 24 Core GPU	1TB	605		Mac Studio		2022	M1 Max
Mac Studio (2022) A2615 M1 Max 10 Core CPU 32 Core GPU	512GB	560		Mac Studio		2022	M1 Max
